chapter,keyword,score,freq
A01.md,复利,10.645553376827515,19
A01.md,利息,10.171918074391192,16
A01.md,笨蛋,8.686578116694893,12
A01.md,朋友,6.445545324353063,8
A01.md,知识,6.263643136159826,7
A01.md,曲线,5.395208533762693,7
A02.md,春节,6.092000083350472,9
A02.md,生活,5.592835308245461,6
A02.md,大多数人,4.324077125263813,4
A03.md,赚钱,13.697561547815456,26
A03.md,速度,12.566456711454657,31
A03.md,商业计划,6.309468130393848,8
A03.md,新东方,5.997847310077608,8
A03.md,投资,4.835405069277506,7
A03.md,觉得自己,3.6208468824377453,3
A04.md,互联网,6.21248481546624,7
A04.md,新东方,5.577886756449903,5
A05.md,老师,11.06613231184023,15
A05.md,新东方,9.998257427571032,12
A05.md,大学,9.652395586786692,13
A05.md,北京,6.802388540141129,7
A05.md,经历,6.532358669303349,10
A05.md,计算机,6.459022643457043,8
A05.md,竞赛,5.854193057123713,9
A05.md,广州,5.167218114765634,8
A06.md,英语,8.092812800644039,8
A06.md,创造,5.853776779230061,11
A06.md,销售,5.611862121998719,9
A06.md,主动选择,5.020098080804913,5
A07.md,蠢事,10.569966306200431,16
A07.md,成功,8.966386307049756,13
A07.md,记录,5.767451239476865,6
A07.md,感觉,4.764866625354122,6
A07.md,行动,4.452355019905411,6
A07.md,钥匙,4.288118906928485,5
A08.md,计算机,13.488192033688996,16
A08.md,升级,12.248765834462047,22
A08.md,操作系统,10.406123772726163,14
A08.md,极少数,3.60339760438651,4
A09.md,破冰,5.184601429407286,7
A09.md,新事物,4.920254558729656,7
A09.md,辅助,4.452355019905411,6
A09.md,学生,4.288118906928485,5
A10.md,概念,14.184642269742085,65
A10.md,操作系统,10.982096752748475,15
A10.md,压力,10.05548980555395,19
A10.md,学习,9.972566085709268,11
A10.md,方法论,9.74664549089724,17
A10.md,脑子里,9.653517625720152,10
A10.md,研究,7.809182961469895,10
A10.md,处理,6.693464107739885,8
A11.md,争论,15.27341025287105,36
A11.md,讨论,10.96937015890792,15
A11.md,概念,8.851333755001509,14
A11.md,双方,8.050147636623704,10
A11.md,影响,5.184601429407286,7
A11.md,放弃,4.773888820007257,6
A11.md,时间精力,4.324077125263813,4
A11.md,争论双方,3.6208468824377453,3
A12.md,沟通,12.977973103629957,18
A12.md,操作系统,10.21794794732918,19
A12.md,协议,9.960115547184861,21
A12.md,计算机,8.977670804296027,10
A12.md,升级,8.686578116694893,12
A12.md,方法论,5.3445020059904,7
A12.md,传输,4.773888820007257,6
A12.md,确认,3.843624111345611,4
A13.md,规定,9.526776369170555,28
A13.md,预约,8.686578116694893,12
A13.md,质量问题,7.588944836601782,10
A13.md,解决,6.433647782117784,12
A13.md,店员,5.765436167018416,8
A13.md,道理,4.967812097348041,6
A13.md,商品,4.773888820007257,6
A13.md,经理,4.288118906928485,5
A14-1.md,战友,9.120574124247327,21
A14-1.md,朋友,7.3348966710671855,14
A14.md,朋友,17.286385136294445,47
A14.md,花时间,8.573078172125605,9
A14.md,主动,7.809182961469895,10
A14.md,认识,6.566076673388027,9
A14.md,老朋友,5.131949653318435,7
A14.md,大多数人,5.020098080804913,5
A14.md,互联网,4.804530139182014,4
A14.md,愿意,4.452355019905411,6
A15.md,客户,15.175431871598366,22
A15.md,电脑,11.530872334036832,16
A15.md,销售,11.21683223181129,16
A15.md,朋友,8.966386307049756,13
A15.md,鼠标垫,7.668337395887448,8
A15.md,利润,7.216649424003002,11
A15.md,投诉,5.174803027086102,7
A15.md,时间精力,5.09348553884475,5
A16.md,分享,6.092000083350472,9
A17.md,解决,13.930029949024686,37
A17.md,细节,9.116486214275044,12
A17.md,公司,7.411735490540431,10
A17.md,承担,5.592835308245461,6
A17.md,学习,4.967812097348041,6
A17.md,发展,4.764866625354122,6
A17.md,社会责任,4.5690000625128535,4
A17.md,时间精力,4.324077125263813,4
A18.md,操作系统,8.600823076671794,12
A18.md,随机,8.132426013136993,11
A18.md,创造,6.688749402362364,13
A18.md,概念,5.459897963300399,9
A18.md,注定,3.843624111345611,4
A18.md,什么时候,3.6208468824377453,3
A19.md,榜样,13.400874015375933,27
A19.md,进步,9.904166434785935,17
A19.md,学习,6.858462537700484,9
A19.md,装蛋,5.958545908871882,11
A20.md,苍蝇,12.1167075164694,17
A20.md,蜜蜂,10.80748495556448,17
A20.md,瓶底,4.773888820007257,6
A20.md,瓶子,4.462309405159923,5
A21.md,大势,10.939127624902152,22
A21.md,焦点,9.584783816153307,21
A21.md,关注,8.113870895070795,12
A21.md,思考,7.7023460948347715,12
A21.md,公共帐号,4.324077125263813,4
A21.md,随着大势,3.6208468824377453,3
A21.md,深入思考,3.6208468824377453,3
A22.md,阅读,14.009631983730696,35
A22.md,知识,12.936426798178276,19
A22.md,认真,6.074004449379884,7
A22.md,平均,6.031644463889316,7
A22.md,分享,5.765436167018416,8
A22.md,技巧,5.592835308245461,6
A22.md,学生们,5.360148633660606,5
A22.md,大多数人,5.020098080804913,5
A23.md,逻辑,4.835405069277506,7
A23.md,经历,4.452355019905411,6
A23.md,容易,4.288118906928485,5
A23.md,个经历,3.0173724020314547,3
A24.md,学习,7.4848402240951994,11
A25.md,新东方,10.358718116617027,12
A25.md,托福,7.756439347640681,12
A25.md,大学,6.074004449379884,7
A25.md,北京,5.395208533762693,7
A25.md,学习,4.288118906928485,5
A25.md,房子,3.843624111345611,4
A26.md,麻烦,9.522301393860555,22
A26.md,研究,8.421932790295367,13
A26.md,运气,7.881487163050287,11
A26.md,解决,6.445545324353063,8
A26.md,下棋,6.074004449379884,7
A26.md,遇到麻烦,4.324077125263813,4
A26.md,大多数,3.82350358227791,5
A27.md,改变,12.43316680359016,26
A27.md,瞬间,7.183452257324629,11
A27.md,失败,5.184601429407286,7
A27.md,知道自己,4.324077125263813,4
A28.md,遗传,5.174803027086103,7
A28.md,老鼠,4.773888820007257,6
A29.md,塑造,8.110997393105508,14
A29.md,学生,7.809182961469895,10
A29.md,认真,6.074004449379884,7
A29.md,毕业,4.773888820007257,6
A29.md,高中生,3.8075000520940443,4
A31.md,系统,8.40964614270376,19
A31.md,容错,7.32067861255556,13
A31.md,计算机,7.209314049346082,6
A31.md,运转,5.765436167018416,8
A32.md,新生事物,13.81487724310577,27
A32.md,投资,9.713040341318269,11
A32.md,模式,7.565354050927706,21
A32.md,讨论,4.773888820007257,6
A33.md,特朗博,18.026856999203837,28
A33.md,电影,11.512404827301967,18
A33.md,逆境,10.231875706636323,15
A33.md,黑名单,5.577886756449903,5
A33.md,遭遇,4.288118906928485,5
A33.md,奥斯卡,3.0173724020314547,3
B02.md,理财,14.69410166096388,42
B02.md,孩子,12.401580508173767,31
B02.md,棉花糖,7.574032789994936,15
B03.md,生活,8.625959245560681,11
B03.md,心理学,5.360148633660606,5
B03.md,生活质量,3.6208468824377453,3
B04.md,收入,9.462331565073942,22
B05.md,聪明,9.146275736794372,14
B05.md,概率,7.556027216739477,17
B05.md,计算,7.281205799543387,10
B05.md,帕斯卡,6.585893034088647,11
B05.md,科学,6.124388827950845,11
B05.md,卡达诺,5.3445020059904,7
B05.md,世界,4.969987852372992,7
B05.md,两个人,4.921122428078476,6
B06.md,审美,10.734996675124156,24
B06.md,生活,7.918735220571741,19
B06.md,教育,6.802388540141129,7
B06.md,勤奋,6.490812118185658,8
B06.md,审美能力,6.486115687895717,8
B06.md,理财,5.592835308245461,6
B06.md,帕西奥利,4.324077125263813,4
B06.md,大多数,4.183415067337427,5
B07.md,风险,10.908558093347878,17
B07.md,勇气,8.358411775962757,17
B07.md,危险,6.648377390472846,11
B07.md,意识,6.490812118185658,8
B07.md,学习,4.773888820007257,6
B08.md,年轻人,5.360148633660606,5
B09.md,遗传,5.174803027086103,7
B09.md,老鼠,4.773888820007257,6
B10.md,利息,10.121297379200008,13
B10.md,积累,8.592903122507341,11
B10.md,体力,6.792977449726377,10
B10.md,收入,6.38412146083273,10
B10.md,智力,5.781709772948202,10
B10.md,通货膨胀,5.304444805345355,5
B10.md,教育,3.843624111345611,4
B11.md,周期,12.08649471075456,22
B11.md,理财,9.060011656658983,11
B11.md,趋势,8.486479502169878,18
B11.md,投资,7.998605942056827,12
B11.md,下降,4.288118906928485,5
B11.md,个周期,3.82350358227791,5
B12.md,价值观,11.28128073200384,15
B12.md,影响,9.713040341318269,11
B12.md,性格,7.568933759739865,19
B12.md,脾气,5.767451239476865,6
B12.md,选择,4.835405069277506,7
B13.md,风险,10.614552351454229,24
B13.md,赌注,9.682025586825002,14
B13.md,概率,6.433647782117784,12
B13.md,抛硬币,5.577886756449903,5
B13.md,教育,4.462309405159923,5
C01.md,结构,4.288118906928485,5
C02.md,运气,12.011137817630134,31
C02.md,坏运气,10.648593946204485,12
C02.md,选择,7.451718146022061,8
C02.md,两个,5.592835308245461,6
C02.md,技能值,4.183415067337427,5
C03.md,出版社,6.480751786759108,7
C03.md,内容,5.592835308245461,6
C04.md,搜索,8.56336249622851,15
C05.md,群聊,4.967812097348041,6
Preface.md,学习,10.077707622772712,34
Preface.md,改变,6.948036093900448,9
Preface.md,鸡汤,6.490812118185658,8
Preface.md,经历,5.044756646141114,8
Preface.md,进步,4.462309405159923,5
Preface.md,微信公共,4.324077125263813,4
Preface.md,道理,4.288118906928485,5
Preface.md,尝试着,3.0173724020314547,3
